Album,Artist,Year,URL,Track number,Track name,Filename,ID,Folder,Correct folder
2BarsShort Vol. 1,2BarsShort,2014,http://usmusic6.bandcamp.com,1,Dope Bags.,2BarsShort - 2BarsShort Vol_ 1 - 01 Dope Bags_.flac,1,2BarsShort - 2BarsShort Vol_ 1,2BarsShort - 2BarsShort Vol_ 1
"Sustained By Evil, Possessed In Hell",Aborted Christians,2013,http://zero-style.bandcamp.com,1,Smashing The Corpse Of Esben Slot Sorensen,"Aborted Christians - Sustained By Evil, Possessed In Hell - 01 Smashing The Corpse Of Esben Slot Sorensen.flac",5,Aborted Christians - Sustained By Evil- Possessed In Hell,Aborted Christians - Sustained By Evil- Possessed In Hell
Taking Care of Business,AI & Skipsta,2015,http://leadmusic.bandcamp.com,1,You Don't Know,AI & Skipsta - Taking Care of Business - 01 You Don't Know.flac,25,AI & Skipsta - Taking Care of Business,AI & Skipsta - Taking Care of Business
In the Field,AJ Hickling,2015,http://evolvingrhythms.bandcamp.com,1,Beneath a Canopy of Leaves,AJ Hickling - In the Field - 01 Beneath a Canopy of Leaves.flac,28,AJ Hickling - In the Field,AJ Hickling - In the Field
All Songs By,All Hail the FunKillers,2015,http://taurangamusicsux.bandcamp.com,1,Jackie Chan,All Hail the FunKillers - All Songs By - 01 Jackie Chan.flac,36,All Hail the FunKillers - All Songs By,All Hail the FunKillers - All Songs By
all red cables,all red cables,2004,http://allredcables.bandcamp.com,1,ask me simple,all red cables - all red cables - 01 ask me simple.flac,41,all red cables - all red cables,all red cables - all red cables
bridle songs,all red cables,2001,http://allredcables.bandcamp.com,1,crystal palace,all red cables - bridle songs - 01 crystal palace.flac,55,all red cables - bridle songs,all red cables - bridle songs
could be anyone,all red cables,2006,http://allredcables.bandcamp.com,1,could be anyone,all red cables - could be anyone - 01 could be anyone.flac,64,all red cables - could be anyone,all red cables - could be anyone
dating godot,all red cables,1992,http://allredcables.bandcamp.com,1,frayed,all red cables - dating godot - 01 frayed.flac,70,all red cables - dating godot,all red cables - dating godot
death to the destiny church,all red cables,2004,http://allredcables.bandcamp.com,1,chips,all red cables - death to the destiny church - 01 chips.flac,78,all red cables - death to the destiny church,all red cables - death to the destiny church
