Album,Artist,Year,URL,Track number,Track name,Filename,project running number,Folder
The Speed Of Sound EP,black sand,2010,http://blacksand1.bandcamp.com,1,Caught Up In Blue,black sand - The Speed Of Sound EP - 01 Caught Up In Blue.flac,1,black sand - The Speed Of Sound EP
The Speed Of Sound EP,black sand,2010,http://blacksand1.bandcamp.com,2,Do You Believe In Love?,black sand - The Speed Of Sound EP - 02 Do You Believe In Love-.flac,2,black sand - The Speed Of Sound EP
The Speed Of Sound EP,black sand,2010,http://blacksand1.bandcamp.com,3,Coming Down,black sand - The Speed Of Sound EP - 03 Coming Down.flac,3,black sand - The Speed Of Sound EP
The Speed Of Sound EP,black sand,2010,http://blacksand1.bandcamp.com,4,Reach Out,black sand - The Speed Of Sound EP - 04 Reach Out.flac,4,black sand - The Speed Of Sound EP
allnaight ep,Borrowed cs,2016,http://borrowedcassettes.bandcamp.com,1,allnaight,Borrowed cs - allnaight ep - 01 allnaight.flac,5,Borrowed cs - allnaight ep
allnaight ep,Borrowed cs,2016,http://borrowedcassettes.bandcamp.com,2,u gotta (keepondancing),Borrowed cs - allnaight ep - 02 u gotta (keepondancing).flac,6,Borrowed cs - allnaight ep
allnaight ep,Borrowed cs,2016,http://borrowedcassettes.bandcamp.com,3,(it is) the answer,Borrowed cs - allnaight ep - 03 (it is) the answer.flac,7,Borrowed cs - allnaight ep
The Formicophilia EP,Crash-Scan,2015,http://digitalstore.crashscan.net,1,Descent,Crash-Scan - The Formicophilia EP - 01 Descent.flac,8,Crash-Scan - The Formicophilia EP
The Formicophilia EP,Crash-Scan,2015,http://digitalstore.crashscan.net,2,The Map Is Not The Territory,Crash-Scan - The Formicophilia EP - 02 The Map Is Not The Territory.flac,9,Crash-Scan - The Formicophilia EP
The Formicophilia EP,Crash-Scan,2015,http://digitalstore.crashscan.net,3,Scopolamine,Crash-Scan - The Formicophilia EP - 03 Scopolamine.flac,10,Crash-Scan - The Formicophilia EP
The Formicophilia EP,Crash-Scan,2015,http://digitalstore.crashscan.net,4,Telomere,Crash-Scan - The Formicophilia EP - 04 Telomere.flac,11,Crash-Scan - The Formicophilia EP
The Formicophilia EP,Crash-Scan,2015,http://digitalstore.crashscan.net,5,Ungrave,Crash-Scan - The Formicophilia EP - 05 Ungrave.flac,12,Crash-Scan - The Formicophilia EP
